Month,Hour,temp_celsius,humidity,wind_speed,generation wind onshore,total load actual
9,12,25.22,36,1,9082.0,31984.0
10,9,9.97,87,1,9921.0,22751.0
7,1,26.0,83,1,5032.0,24580.0
4,15,21.28,28,2,2783.0,23597.0
5,3,15.82,77,1,3441.0,22276.0
11,11,16.0,41,1,1991.0,31029.0
2,0,8.47,79,4,5510.0,27336.0
11,10,11.0,56,3,8829.0,30218.0
6,8,19.0,88,0,10999.0,33939.0
7,2,17.79,90,0,4356.0,22673.0
4,23,16.0,59,1,5563.0,25351.0
3,22,18.0,52,1,7438.0,31639.0
4,18,22.06,24,2,2681.0,22566.0
8,1,26.0,78,4,3083.0,24964.0
3,14,20.0,32,7,7212.0,32974.0
2,3,11.0,76,1,4927.0,20975.0
1,23,15.0,58,5,10054.0,26027.0
6,6,16.1,85,1,2646.0,24942.0
6,7,18.0,72,1,1762.0,27593.0
2,0,10.0,87,1,2397.0,28712.0
4,7,10.72,87,0,3510.0,27935.0
3,0,13.0,54,3,6303.0,27339.0
7,0,22.7,78,1,5674.0,30695.0
5,0,16.63,77,3,5819.0,25125.0
4,18,16.93,68,5,6800.0,29141.0
10,5,18.0,93,2,4705.0,19740.0
4,18,27.0,24,6,3361.0,21022.0
4,5,10.17,90,2,2167.0,21354.0
9,14,22.0,94,0,481.0,26736.0
10,14,24.1,72,1,1242.0,30829.0
10,23,14.52,90,1,5722.0,27037.0
1,12,15.56,59,7,2744.0,36201.0
5,17,21.8,49,6,5484.0,29398.0
12,8,7.0,75,3,9130.0,21443.0
2,4,11.0,62,7,12363.0,25442.0
12,15,14.0,58,1,1655.0,29617.0
10,7,15.0,87,4,738.0,28844.0
8,0,27.0,65,4,3724.0,27845.0
10,15,22.0,68,4,6829.0,29470.0
3,20,10.01,92,3,10171.0,36577.0
1,19,11.0,29,6,8397.0,33480.0
6,5,17.0,88,1,7974.0,26022.0
3,4,4.09,96,1,7477.0,22943.0
5,16,28.0,32,4,2904.0,30757.0
7,13,30.0,55,2,1359.0,31777.0
5,9,14.0,47,4,3604.0,32835.0
12,15,15.0,44,1,2572.0,37308.0
4,5,8.0,81,1,1611.0,21188.0
11,14,17.0,25,5,7451.0,31888.0
1,10,6.0,70,3,3788.0,38595.0
12,6,6.0,81,2,6808.0,26760.0
9,6,18.0,77,0,3050.0,26172.0
11,10,10.0,57,1,4078.0,30292.0
7,4,25.27,83,1,5075.0,22571.0
11,21,7.0,65,2,6332.0,29519.0
7,20,26.8,65,4,2800.0,33639.0
1,11,12.71,50,9,2655.0,34707.0
5,9,19.47,72,0,4181.0,26042.0
8,2,26.0,83,1,1783.0,23125.0
12,18,12.62,34,4,10539.0,31053.0
9,7,19.33,78,1,9268.0,23930.0
12,7,8.0,81,2,1823.0,29285.0
5,10,17.89,86,2,8103.0,31588.0
4,20,13.7,68,2,7938.0,24869.0
11,5,13.81,88,2,7560.0,21640.0
8,5,22.65,83,2,5395.0,23093.0
5,2,16.0,63,1,6225.0,25738.0
1,11,13.57,77,1,8796.0,21805.0
5,15,17.63,68,3,9232.0,30394.0
6,20,23.37,53,4,9230.0,30160.0
3,5,12.0,76,2,9157.0,22404.0
8,18,30.96,59,5,7665.0,37535.0
2,19,10.0,35,3,8934.0,36699.0
11,13,16.5,46,1,1809.0,33998.0
2,21,10.0,76,3,6588.0,32964.0
3,22,10.45,43,3,7543.0,29143.0
2,12,7.0,93,4,6798.0,38582.0
1,4,2.1,69,1,7660.0,22879.0
4,21,17.2,52,3,5167.0,32527.0
5,16,20.5,100,1,3147.0,29811.0
2,10,9.66,53,0,2822.0,36648.0
4,2,16.0,77,1,4648.0,19912.0
7,4,23.0,83,1,6307.0,20994.0
4,22,18.0,68,0,7030.0,25254.0
9,18,27.56,25,6,11495.0,30145.0
8,9,21.0,88,2,4828.0,22704.0
4,12,16.22,33,8,3176.0,35968.0
12,8,12.0,62,6,9030.0,35609.0
11,9,11.0,87,1,5297.0,34179.0
8,16,31.19,59,4,1018.0,25612.0
2,4,8.78,60,8,9435.0,21804.0
6,20,27.92,25,3,4065.0,32888.0
2,22,11.9,53,6,11585.0,30994.0
1,2,14.0,47,10,6166.0,22498.0
7,13,28.58,42,3,1705.0,35886.0
7,5,24.0,88,1,1810.0,24725.0
8,9,21.28,64,1,7626.0,32686.0
5,1,18.0,72,1,2998.0,24956.0
4,22,12.5,75,2,6894.0,29388.0
6,22,22.19,61,3,6455.0,28818.0
5,21,21.0,49,3,6741.0,30945.0
1,9,14.0,50,6,8842.0,25384.0
3,20,18.78,17,9,8070.0,25821.0
2,22,7.0,45,6,2617.0,31625.0
5,16,26.0,41,5,5794.0,31491.0
7,20,29.0,45,3,7513.0,35094.0
10,3,14.22,88,0,1737.0,21467.0
6,19,31.0,27,3,2627.0,36335.0
1,21,6.0,18,4,12328.0,38993.0
10,11,20.0,52,1,7737.0,24871.0
5,12,25.23,35,2,2815.0,32417.0
10,23,23.0,83,2,9634.0,24342.0
5,8,15.44,85,2,2734.0,29054.0
7,11,26.39,74,1,3225.0,27427.0
2,15,6.8,49,1,2618.0,35266.0
3,14,16.28,25,2,1672.0,30323.0
11,12,21.0,32,3,5887.0,29338.0
4,5,11.0,93,3,7130.0,23462.0
5,14,27.0,28,2,4475.0,31034.0
1,0,15.0,54,6,11441.0,28778.0
4,6,16.31,63,4,3940.0,20882.0
9,3,23.99,57,1,6121.0,20646.0
2,21,14.0,82,5,11288.0,34069.0
11,18,17.0,63,1,8853.0,28800.0
7,13,30.25,55,1,926.0,38945.0
9,0,26.0,74,1,5274.0,26866.0
3,7,9.0,87,1,4743.0,29671.0
6,22,19.97,73,2,4390.0,29103.0
4,10,16.0,82,1,2905.0,24631.0
12,0,12.0,87,0,1772.0,25567.0
8,14,30.0,58,5,4277.0,30458.0
7,11,31.8,40,1,551.0,31409.0
10,6,19.0,82,1,5955.0,27873.0
8,14,36.0,26,3,3836.0,31332.0
1,0,5.0,80,0,3007.0,27071.0
3,18,27.25,23,1,8023.0,28355.0
1,18,15.0,47,8,14629.0,25198.0
4,21,13.62,51,1,9699.0,31722.0
9,14,28.0,30,7,14237.0,31413.0
11,0,15.0,67,5,8760.0,25658.0
12,23,6.0,93,1,5183.0,31335.0
2,10,6.1,65,4,7497.0,37638.0
5,0,22.0,35,2,4714.0,23243.0
12,7,7.99,70,3,5566.0,31876.0
4,8,10.0,100,4,6274.0,30364.0
2,14,16.0,51,6,14444.0,31818.0
3,7,15.0,82,4,3142.0,28917.0
6,17,31.0,38,5,3672.0,30393.0
8,22,27.0,74,2,8355.0,29538.0
12,17,23.52,43,3,1491.0,34185.0
12,5,4.0,86,1,6359.0,24856.0
10,12,22.0,68,1,8526.0,33573.0
9,18,26.0,54,3,4194.0,24673.0
12,18,14.0,67,3,7617.0,36739.0
12,2,16.0,93,5,4562.0,22526.0
11,4,11.0,76,1,7081.0,22779.0
8,4,23.0,69,0,1804.0,23866.0
8,16,28.0,45,5,6253.0,29139.0
11,10,16.0,87,1,3087.0,27886.0
4,10,13.85,77,1,3056.0,31468.0
1,23,9.52,33,4,9157.0,30665.0
2,10,10.0,81,1,2108.0,26441.0
5,16,22.0,60,4,3156.0,25572.0
9,8,15.75,86,1,3308.0,30134.0
5,12,24.38,34,2,5348.0,31608.0
12,9,4.0,93,1,5814.0,35620.0
10,9,14.0,62,1,3498.0,30924.0
5,11,21.0,37,0,4387.0,28673.0
8,7,25.0,88,1,7284.0,23359.0
5,4,17.0,82,0,1324.0,24286.0
4,18,24.0,57,4,5533.0,28865.0
5,22,19.0,63,2,8421.0,30012.0
12,18,16.0,87,2,3276.0,24066.0
8,13,34.0,34,1,8166.0,35095.0
7,0,23.43,57,0,1956.0,25823.0
8,22,26.74,23,5,11132.0,27461.0
9,15,27.81,30,6,10765.0,30414.0
4,22,16.0,82,1,3463.0,30577.0
10,12,22.0,43,0,2131.0,31713.0
11,23,8.15,93,0,3010.0,27063.0
2,9,13.0,82,5,9540.0,31646.0
8,15,34.0,38,5,8705.0,33336.0
6,14,28.29,54,4,1547.0,34817.0
5,12,20.57,33,7,9092.0,24548.0
3,0,9.0,87,0,5335.0,26113.0
10,8,15.0,87,1,1902.0,30535.0
